interface;table;sens;Itable;IsourceTab
SCEN_COMPLIANCE_FEED;ODS.AGG_SCORING_LCBFT;in;3001;14
SCEN_COMPLIANCE_FEED;ODS.AGG_RESEAU_LCBFT;in;3002;14
SCEN_COMPLIANCE_FEED;ODS.AGG_SCORE_KYC;in;3003;14
SCEN_COMPLIANCE_FEED;EDD.AGG_ECL;in;3004;14
SCEN_COMPLIANCE_FEED;COMPLIANCE_HUB.TRANSACTION_FACTS;in/out;3005;14
SCEN_COMPLIANCE_TRACFIN;COMPLIANCE_HUB.TRANSACTION_FACTS;in;3005;22
SCEN_COMPLIANCE_TRACFIN;ODS.AGG_RESEAU_LCBFT;in;3002;22
SCEN_COMPLIANCE_TRACFIN;COMPLIANCE_HUB.TRACFIN_DECLARATIONS;in/out;3006;22
SCEN_COMPLIANCE_REPORT;COMPLIANCE_HUB.TRACFIN_DECLARATIONS;in;3006;36
SCEN_COMPLIANCE_REPORT;COMPLIANCE_HUB.TRANSACTION_FACTS;in;3005;36
SCEN_COMPLIANCE_REPORT;COMPLIANCE_HUB.MONTHLY_AUDIT;in/out;3007;36
