interface;table;sens;Itable;IsourceTab
SCEN_C360_BASE;ODS.AGG_SCORE_KYC;in;2001;77
SCEN_C360_BASE;ODS.AGG_SEGMENT_CLIENT;in;2002;77
SCEN_C360_BASE;DMCG.AGG_POSITION_CLIENT;in;2003;77
SCEN_C360_BASE;C360.CLIENT_PROFILE_BASE;in/out;2004;77
SCEN_C360_ENRICH;C360.CLIENT_PROFILE_BASE;in;2004;83
SCEN_C360_ENRICH;EDEAL19.AGG_PERF_AV;in;2005;83
SCEN_C360_ENRICH;EDEAL19.AGG_VALORISATION_AV;in;2006;83
SCEN_C360_ENRICH;EDEAL19.AGG_INTERETS_LIVRET;in;2007;83
SCEN_C360_ENRICH;C360.CLIENT_PROFILE_FULL;in/out;2008;83
SCEN_C360_EXPORT_CRM;C360.CLIENT_PROFILE_FULL;in;2008;95
SCEN_C360_EXPORT_CRM;CRM_OUTBOUND.CONTACT_ENRICHED;in/out;2009;95
